T13 risk according to Gardner and Sunderland (2011),
Chromosome abnormalities and Genetic counseling. 4th edition. Page 408
10	12	14	16	20	40
20	6347	7826	9389	11042	14656	42423
25	5621	6930	8314	9778	12978	37567
30	3719	4585	5501	6470	8587	24856
31	3228	3980	4774	5615	7453	21573
32	2740	3378	4052	4766	6326	18311
33	2275	2806	3366	3959	5254	15209
34	1852	2284	2740	3222	4277	12380
35	1481	1826	2190	2576	3419	9876
36	1165	1437	1724	2027	2691	7788
37	905	1116	1339	1575	2090	6050
38	696	858	1029	1210	1606	4650
39	530	654	784	922	1224	3544
40	401	495	594	698	927	2683
41	302	373	447	526	698	2020
42	227	280	335	395	524	1516
43	170	209	251	295	392	1134
44	127	156	187	220	292	846
