Source: Tab.5 Probability of trisomy 21 in relation to maternal age and age of gestation 
(Snijders, Nicolaides Ultrasound Markers for foetal chromosomal defects; 1997)
10	12	14	16	18	20	25	40
20	804	898	981	1053	1117	1175	1249	1527
21	793	887	968	1040	1103	1159	1277	1507
22	780	872	952	1022	1084	1140	1256	1482
23	762	852	930	999	1060	1114	1227	1448
24	740	827	903	969	1029	1081	1191	1406
25	712	795	868	933	989	1040	1146	1352
26	677	756	826	887	941	989	1090	1286
27	635	710	775	832	883	928	1022	1206
28	586	655	715	768	815	856	943	1113
29	531	593	648	695	738	776	855	1008
30	471	526	575	617	655	688	758	895
31	409	457	499	536	568	597	658	776
32	347	388	423	455	482	507	559	659
33	288	322	352	378	401	421	464	547
34	235	262	286	307	326	343	378	446
35	187	210	229	246	261	274	302	356
36	148	165	180	193	205	216	238	280
37	115	128	140	150	150	168	185	218
38	88	98	107	115	122	129	142	167
39	67	75	82	88	93	98	108	128
40	51	57	62	67	71	74	82	97
41	38	43	47	50	53	56	62	73
42	29	32	35	38	40	42	46	55
43	21	24	26	28	30	31	35	41
44	16	18	20	21	22	23	26	30
