Source:	http://www.sasuog.org.za/ChoroidPlexusCysts.asp			
-----
MA/GA	10	12	14	16	18	20	25	30	35	40
20	1993	2484	3015	3590	4215	4897	6909	9516	13028	18013
21	1968	2453	2976	3544	4160	4834	6820	9394	12860	17782
22	1934	2411	2925	3483	4090	4751	6704	9234	12641	17479
23	1891	2357	2860	3405	3998	4645	6553	9027	12357	17086
24	1835	2287	2776	3305	3880	4508	6361	8761	11994	16584
25	1765	2200	2670	3179	3732	4336	6118	8427	11536	15951
26	1679	2092	2539	3023	3549	4124	5819	8014	10972	15170
27	1575	1963	2382	2836	3330	3868	5458	7518	10272	14231
28	1453	1811	2198	2617	3073	3570	5037	6938	9498	13133
29	1316	1641	1991	2371	2783	3234	4562	6284	8603	11895
30	1168	1456	1766	2103	2469	2869	4048	5575	7633	10554
31	1014	1263	1533	1825	2143	2490	3513	4839	6625	9160
32	860	1072	1301	1549	1819	2114	2982	4107	5623	7775
33	715	891	1081	1287	1511	1755	2477	3412	4670	6458
34	582	725	880	1047	1230	1429	2016	2777	3802	5256
35	465	580	703	837	983	1142	1612	2220	3039	4202
36	366	456	553	659	774	899	1268	1747	2392	3307
37	284	354	430	512	601	698	985	1357	1858	2569
38	218	272	330	393	462	537	757	1043	1428	1974
39	167	208	252	300	352	409	577	795	1088	1505
40	126	157	191	227	267	310	437	602	824	1139
41	95	118	144	171	201	233	329	453	620	858
42	71	89	108	128	151	175	247	340	465	644
43	53	66	81	96	113	131	185	254	348	481
44	40	50	60	72	84	98	138	190	260	359
